Bulan,NOPOL,Kategori Site,Site Name,BU Site,Type Armada,Klasifikasi Kendaraan,Usia (Year),Owner,DPP,Nominal Downtime,DPP Net (setelah downtime)
Jul-24,BK8815MG,RDC,TAMORA HCI,HCI,FUSO,NIAGA,14,MR,11418000.0,0,11418000.0
Apr-25,A8964ZD,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,8,MR,7713000.0,0,7713000.0
Jul-24,B3022SHZ,NDC,CIKUPA HCI,HCI,MOTOR,MOTOR,14,MR,540000.0,0,540000.0
Apr-25,B9942SCF,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,8,MR,7713000.0,0,7713000.0
Jul-24,A8248YX,NDC,CIKUPA HCI,HCI,CDE,NIAGA,19,MR,3827000.0,0,3827000.0
Jul-24,A8859YX,NDC,CIKUPA HCI,HCI,CDE,NIAGA,19,MR,3827000.0,0,3827000.0
Jul-24,A8249YX,NDC,CIKUPA HCI,HCI,CDE,NIAGA,19,MR,3827000.0,0,3827000.0
Jul-24,A8626YX,NDC,CIKUPA HCI,HCI,CDE,NIAGA,19,MR,3827000.0,0,3827000.0
Jul-24,A8513VX,NDC,CIKUPA HCI,HCI,CDE,NIAGA,18,MR,4254000.0,0,4254000.0
Jul-24,A8093VX,NDC,CIKUPA HCI,HCI,CDE,NIAGA,18,MR,4254000.0,0,4254000.0
Jul-24,A8604VX,NDC,CIKUPA HCI,HCI,CDE,NIAGA,18,MR,4254000.0,0,4254000.0
Apr-25,B9940SCF,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,8,MR,7713000.0,0,7713000.0
Jul-24,A8504YX,NDC,CIKUPA HCI,HCI,CDD LC,NIAGA,19,MR,5469000.0,0,5469000.0
Jul-24,A8246YX,NDC,CIKUPA HCI,HCI,CDD LC,NIAGA,19,MR,5469000.0,0,5469000.0
Jul-24,B9036FU,HUB,#N/A,HCI,PICKUP,NIAGA,15,MR,3142000.0,0,3142000.0
Jul-24,BK8814MG,RDC,TAMORA HCI,HCI,PICKUP,NIAGA,15,MR,3342000.0,0,3342000.0
Jul-24,B9038MK,NDC,CIKUPA HCI,HCI,PICKUP,NIAGA,14,MR,3373000.0,0,3373000.0
Jul-24,B9039MK,NDC,CIKUPA HCI,HCI,PICKUP,NIAGA,14,MR,3373000.0,0,3373000.0
